Fecha,ID_Producto,Nombre_Producto,Cantidad_Vendida,Precio_Unitario,Cliente,Región
2023-02-14,3,Junta Silicona,33,3.80,Fundaciones Phi,Norte
2023-02-15,1,Tornillo Acero,100,0.72,Instituciones Chi,Sur
2023-02-16,2,Válvula Bronce,3,53.00,Academias Psi,Este
2023-02-17,3,Junta Silicona,44,3.40,Centros Omega,Oeste
2023-02-18,1,Tornillo Acero,130,0.63,Facultades Alpha,Norte
2023-02-19,2,Válvula Bronce,19,39.50,Escuelas Beta,Sur
2023-02-20,3,Junta Silicona,29,3.85,Universidades Gamma,Este
2023-02-21,1,Tornillo Acero,140,0.60,Institutos Delta,Oeste
2023-02-22,2,Válvula Bronce,20,38.75,Colegios Epsilon,Norte
2023-02-23,3,Junta Silicona,47,3.25,Liceos Zeta,Sur
2023-02-24,1,Tornillo Acero,150,0.58,Talleres Eta,Este
2023-02-25,2,Válvula Bronce,25,36.00,Laboratorios Theta,Oeste
2023-02-26,3,Junta Silicona,53,3.05,Plantas Iota,Norte
2023-02-27,1,Tornillo Acero,160,0.55,Fábricas Kappa,Sur
2023-02-28,2,Válvula Bronce,30,34.50,Industrias Lambda,Este
2023-03-01,3,Junta Silicona,58,2.95,Manufacturas Mu,Oeste
2023-03-02,1,Tornillo Acero,170,0.53,Empresas Nu,Norte
2023-03-03,2,Válvula Bronce,35,33.25,Compañías Xi,Sur
2023-03-04,3,Junta Silicona,62,2.85,Organizaciones Omicron,Este
2023-03-05,1,Tornillo Acero,180,0.50,Grupos Pi,Oeste
2023-03-06,2,Válvula Bronce,40,32.00,Asociaciones Rho,Norte
2023-03-07,3,Junta Silicona,65,2.75,Cooperativas Sigma,Sur
2023-03-08,1,Tornillo Acero,190,0.48,Consorcios Tau,Este
2023-03-09,2,Válvula Bronce,45,30.75,Fundaciones Upsilon,Oeste
2023-03-10,3,Junta Silicona,70,2.65,Instituciones Phi,Norte
2023-03-11,1,Tornillo Acero,200,0.45,Academias Chi,Sur
2023-03-12,2,Válvula Bronce,50,29.50,Centros Psi,Este
2023-03-13,3,Junta Silicona,75,2.55,Facultades Omega,Oeste
2023-03-14,1,Tornillo Acero,85,0.72,Universidades Alpha,Norte
2023-03-15,2,Válvula Bronce,22,37.25,Escuelas Beta,Sur
2023-03-16,3,Junta Silicona,41,3.45,Colegios Gamma,Este
2023-03-17,1,Tornillo Acero,95,0.70,Institutos Delta,Oeste
2023-03-18,2,Válvula Bronce,18,39.00,Liceos Epsilon,Norte
2023-03-19,3,Junta Silicona,36,3.30,Talleres Zeta,Sur
2023-03-20,1,Tornillo Acero,105,0.68,Laboratorios Eta,Este
2023-03-21,2,Válvula Bronce,15,40.50,Plantas Theta,Oeste
2023-03-22,3,Junta Silicona,31,3.60,Fábricas Iota,Norte
2023-03-23,1,Tornillo Acero,115,0.66,Manufacturas Kappa,Sur
2023-03-24,2,Válvula Bronce,12,42.00,Industrias Lambda,Este
2023-03-25,3,Junta Silicona,26,3.75,Empresas Mu,Oeste
2023-03-26,1,Tornillo Acero,125,0.64,Compañías Nu,Norte
2023-03-27,2,Válvula Bronce,9,43.75,Organizaciones Xi,Sur
2023-03-28,3,Junta Silicona,21,3.85,Grupos Omicron,Este
2023-03-29,1,Tornillo Acero,135,0.62,Asociaciones Pi,Oeste
2023-03-30,2,Válvula Bronce,6,45.50,Cooperativas Rho,Norte
2023-03-31,3,Junta Silicona,16,3.95,Consorcios Sigma,Sur
2023-04-01,1,Tornillo Acero,145,0.60,Fundaciones Tau,Este
2023-04-02,2,Válvula Bronce,3,47.25,Instituciones Upsilon,Oeste
2023-04-03,3,Junta Silicona,11,4.05,Academias Phi,Norte
2023-04-04,1,Tornillo Acero,155,0.58,Centros Chi,Sur
2023-04-05,2,Válvula Bronce,24,36.80,Facultades Psi,Este
2023-04-06,3,Junta Silicona,39,3.35,Universidades Omega,Oeste
2023-04-07,1,Tornillo Acero,165,0.56,Escuelas Alpha,Norte
2023-04-08,2,Válvula Bronce,27,35.25,Colegios Beta,Sur
2023-04-09,3,Junta Silicona,42,3.25,Institutos Gamma,Este
2023-04-10,1,Tornillo Acero,175,0.54,Liceos Delta,Oeste
2023-04-11,2,Válvula Bronce,30,33.75,Talleres Epsilon,Norte
2023-04-12,3,Junta Silicona,45,3.15,Laboratorios Zeta,Sur
2023-04-13,1,Tornillo Acero,185,0.52,Plantas Eta,Este
2023-04-14,2,Válvula Bronce,33,32.50,Fábricas Theta,Oeste
2023-04-15,3,Junta Silicona,48,3.05,Manufacturas Iota,Norte
2023-04-16,1,Tornillo Acero,195,0.50,Industrias Kappa,Sur
2023-04-17,2,Válvula Bronce,36,31.25,Empresas Lambda,Este
2023-04-18,3,Junta Silicona,51,2.95,Compañías Mu,Oeste
2023-04-19,1,Tornillo Acero,80,0.71,Organizaciones Nu,Norte
2023-04-20,2,Válvula Bronce,14,40.00,Grupos Xi,Sur
2023-04-21,3,Junta Silicona,29,3.70,Asociaciones Omicron,Este
2023-04-22,1,Tornillo Acero,90,0.69,Cooperativas Pi,Oeste
2023-04-23,2,Válvula Bronce,17,38.50,Consorcios Rho,Norte
2023-04-24,3,Junta Silicona,34,3.45,Fundaciones Sigma,Sur
2023-04-25,1,Tornillo Acero,100,0.67,Instituciones Tau,Este
2023-04-26,2,Válvula Bronce,20,37.00,Academias Upsilon,Oeste
2023-04-27,3,Junta Silicona,39,3.20,Centros Phi,Norte
2023-04-28,1,Tornillo Acero,110,0.65,Facultades Chi,Sur
2023-04-29,2,Válvula Bronce,23,35.75,Universidades Psi,Este
2023-04-30,3,Junta Silicona,44,2.95,Escuelas Omega,Oeste
2023-05-01,1,Tornillo Acero,120,0.63,Colegios Alpha,Norte
2023-05-02,2,Válvula Bronce,26,34.50,Institutos Beta,Sur
2023-05-03,3,Junta Silicona,49,2.70,Liceos Gamma,Este
2023-05-04,1,Tornillo Acero,130,0.61,Talleres Delta,Oeste
2023-05-05,2,Válvula Bronce,29,33.25,Laboratorios Epsilon,Norte
2023-05-06,3,Junta Silicona,54,2.45,Plantas Zeta,Sur
2023-05-07,1,Tornillo Acero,140,0.59,Fábricas Eta,Este
2023-05-08,2,Válvula Bronce,32,32.00,Manufacturas Theta,Oeste
2023-05-09,3,Junta Silicona,59,2.20,Industrias Iota,Norte
2023-05-10,1,Tornillo Acero,150,0.57,Empresas Kappa,Sur
2023-05-11,2,Válvula Bronce,35,30.75,Compañías Lambda,Este
2023-05-12,3,Junta Silicona,64,1.95,Organizaciones Mu,Oeste
2023-05-13,1,Tornillo Acero,160,0.55,Grupos Nu,Norte
2023-05-14,2,Válvula Bronce,38,29.50,Asociaciones Xi,Sur
2023-05-15,3,Junta Silicona,69,1.70,Cooperativas Omicron,Este
2023-05-16,1,Tornillo Acero,170,0.53,Consorcios Pi,Oeste
2023-05-17,2,Válvula Bronce,41,28.25,Fundaciones Rho,Norte
2023-05-18,3,Junta Silicona,74,1.45,Instituciones Sigma,Sur
2023-05-19,1,Tornillo Acero,180,0.51,Academias Tau,Este
2023-05-20,2,Válvula Bronce,44,27.00,Centros Upsilon,Oeste
2023-05-21,3,Junta Silicona,79,1.20,Facultades Phi,Norte
2023-05-22,1,Tornillo Acero,190,0.49,Universidades Chi,Sur
2023-05-23,2,Válvula Bronce,47,25.75,Escuelas Psi,Este
2023-05-24,3,Junta Silicona,84,0.95,Colegios Omega,Oeste
2023-05-25,1,Tornillo Acero,200,0.47,Institutos Alpha,Norte
2023-05-26,2,Válvula Bronce,50,24.50,Liceos Beta,Sur
2023-05-27,3,Junta Silicona,89,0.70,Talleres Gamma,Este
2023-05-28,1,Tornillo Acero,85,0.73,Laboratorios Delta,Oeste
2023-05-29,2,Válvula Bronce,21,38.25,Plantas Epsilon,Norte
2023-05-30,3,Junta Silicona,46,3.30,Fábricas Zeta,Sur
2023-05-31,1,Tornillo Acero,95,0.71,Manufacturas Eta,Este
2023-06-01,2,Válvula Bronce,19,39.75,Industrias Theta,Oeste
2023-06-02,3,Junta Silicona,43,3.40,Empresas Iota,Norte
2023-06-03,1,Tornillo Acero,105,0.69,Compañías Kappa,Sur
2023-06-04,2,Válvula Bronce,17,41.25,Organizaciones Lambda,Este
2023-06-05,3,Junta Silicona,40,3.50,Grupos Mu,Oeste
2023-06-06,1,Tornillo Acero,115,0.67,Asociaciones Nu,Norte
2023-06-07,2,Válvula Bronce,15,42.75,Cooperativas Xi,Sur
2023-06-08,3,Junta Silicona,37,3.60,Consorcios Omicron,Este
2023-06-09,1,Tornillo Acero,125,0.65,Fundaciones Pi,Oeste
2023-06-10,2,Válvula Bronce,13,44.25,Instituciones Rho,Norte
2023-06-11,3,Junta Silicona,34,3.70,Academias Sigma,Sur
2023-06-12,1,Tornillo Acero,135,0.63,Centros Tau,Este
2023-06-13,2,Válvula Bronce,11,45.75,Facultades Upsilon,Oeste
2023-06-14,3,Junta Silicona,31,3.80,Universidades Phi,Norte
2023-06-15,1,Tornillo Acero,145,0.61,Escuelas Chi,Sur
2023-06-16,2,Válvula Bronce,9,47.25,Colegios Psi,Este
2023-06-17,3,Junta Silicona,28,3.90,Institutos Omega,Oeste
2023-06-18,1,Tornillo Acero,155,0.59,Liceos Alpha,Norte
2023-06-19,2,Válvula Bronce,7,48.75,Talleres Beta,Sur
2023-06-20,3,Junta Silicona,25,4.00,Laboratorios Gamma,Este
2023-06-21,1,Tornillo Acero,165,0.57,Plantas Delta,Oeste
2023-06-22,2,Válvula Bronce,5,50.25,Fábricas Epsilon,Norte
2023-06-23,3,Junta Silicona,22,4.10,Manufacturas Zeta,Sur
2023-06-24,1,Tornillo Acero,175,0.55,Industrias Eta,Este
2023-06-25,2,Válvula Bronce,3,51.75,Empresas Theta,Oeste
2023-06-26,3,Junta Silicona,19,4.20,Compañías Iota,Norte
2023-06-27,1,Tornillo Acero,185,0.53,Organizaciones Kappa,Sur
2023-06-28,2,Válvula Bronce,24,36.50,Grupos Lambda,Este
2023-06-29,3,Junta Silicona,41,3.35,Asociaciones Mu,Oeste
2023-06-30,1,Tornillo Acero,195,0.51,Cooperativas Nu,Norte
2023-07-01,2,Válvula Bronce,27,35.25,Consorcios Xi,Sur
2023-07-02,3,Junta Silicona,44,3.25,Fundaciones Omicron,Este
2023-07-03,1,Tornillo Acero,80,0.72,Instituciones Pi,Oeste
2023-07-04,2,Válvula Bronce,16,40.00,Academias Rho,Norte
2023-07-05,3,Junta Silicona,33,3.55,Centros Sigma,Sur
2023-07-06,1,Tornillo Acero,90,0.70,Facultades Tau,Este
2023-07-07,2,Válvula Bronce,14,41.50,Universidades Upsilon,Oeste
2023-07-08,3,Junta Silicona,30,3.65,Escuelas Phi,Norte
2023-07-09,1,Tornillo Acero,100,0.68,Colegios Chi,Sur
2023-07-10,2,Válvula Bronce,12,43.00,Institutos Psi,Este
2023-07-11,3,Junta Silicona,27,3.75,Liceos Omega,Oeste
2023-07-12,1,Tornillo Acero,110,0.66,Talleres Alpha,Norte
2023-07-13,2,Válvula Bronce,10,44.50,Laboratorios Beta,Sur
2023-07-14,3,Junta Silicona,24,3.85,Plantas Gamma,Este
2023-07-15,1,Tornillo Acero,120,0.64,Fábricas Delta,Oeste
2023-07-16,2,Válvula Bronce,8,46.00,Manufacturas Epsilon,Norte
2023-07-17,3,Junta Silicona,21,3.95,Industrias Zeta,Sur
2023-07-18,1,Tornillo Acero,130,0.62,Empresas Eta,Este
2023-07-19,2,Válvula Bronce,6,47.50,Compañías Theta,Oeste
2023-07-20,3,Junta Silicona,18,4.05,Organizaciones Iota,Norte
2023-07-21,1,Tornillo Acero,140,0.60,Grupos Kappa,Sur
2023-07-22,2,Válvula Bronce,4,49.00,Asociaciones Lambda,Este
2023-07-23,3,Junta Silicona,15,4.15,Cooperativas Mu,Oeste
2023-07-24,1,Tornillo Acero,150,0.58,Consorcios Nu,Norte
2023-07-25,2,Válvula Bronce,2,50.50,Fundaciones Xi,Sur
2023-07-26,3,Junta Silicona,12,4.25,Instituciones Omicron,Este
2023-07-27,1,Tornillo Acero,160,0.56,Academias Pi,Oeste
2023-07-28,2,Válvula Bronce,28,34.75,Centros Rho,Norte
2023-07-29,3,Junta Silicona,45,3.15,Facultades Sigma,Sur
2023-07-30,1,Tornillo Acero,170,0.54,Universidades Tau,Este
2023-07-31,2,Válvula Bronce,31,33.50,Escuelas Upsilon,Oeste
2023-08-01,3,Junta Silicona,48,3.05,Colegios Phi,Norte
2023-08-02,1,Tornillo Acero,180,0.52,Institutos Chi,Sur
2023-08-03,2,Válvula Bronce,34,32.25,Liceos Psi,Este
2023-08-04,3,Junta Silicona,51,2.95,Talleres Omega,Oeste
2023-08-05,1,Tornillo Acero,190,0.50,Laboratorios Alpha,Norte
2023-08-06,2,Válvula Bronce,37,31.00,Plantas Beta,Sur
2023-08-07,3,Junta Silicona,54,2.85,Fábricas Gamma,Este
2023-08-08,1,Tornillo Acero,200,0.48,Manufacturas Delta,Oeste
2023-08-09,2,Válvula Bronce,40,29.75,Industrias Epsilon,Norte
2023-08-10,3,Junta Silicona,57,2.75,Empresas Zeta,Sur
2023-08-11,1,Tornillo Acero,85,0.71,Compañías Eta,Este
2023-08-12,2,Válvula Bronce,23,36.00,Organizaciones Theta,Oeste
2023-08-13,3,Junta Silicona,40,3.30,Grupos Iota,Norte
2023-08-14,1,Tornillo Acero,95,0.69,Asociaciones Kappa,Sur
2023-08-15,2,Válvula Bronce,20,37.50,Cooperativas Lambda,Este
2023-08-16,3,Junta Silicona,37,3.40,Consorcios Mu,Oeste
2023-08-17,1,Tornillo Acero,105,0.67,Fundaciones Nu,Norte
2023-08-18,2,Válvula Bronce,17,39.00,Instituciones Xi,Sur
2023-08-19,3,Junta Silicona,34,3.50,Academias Omicron,Este
2023-08-20,1,Tornillo Acero,115,0.65,Centros Pi,Oeste
2023-08-21,2,Válvula Bronce,14,40.50,Facultades Rho,Norte
2023-08-22,3,Junta Silicona,31,3.60,Universidades Sigma,Sur
2023-08-23,1,Tornillo Acero,125,0.63,Escuelas Tau,Este
2023-08-24,2,Válvula Bronce,11,42.00,Colegios Upsilon,Oeste
2023-08-25,3,Junta Silicona,28,3.70,Institutos Phi,Norte
2023-08-26,1,Tornillo Acero,135,0.61,Liceos Chi,Sur
2023-08-27,2,Válvula Bronce,8,43.50,Talleres Psi,Este
2023-08-28,3,Junta Silicona,25,3.80,Laboratorios Omega,Oeste
2023-08-29,1,Tornillo Acero,145,0.59,Plantas Alpha,Norte
2023-08-30,2,Válvula Bronce,5,45.00,Fábricas Beta,Sur
2023-08-31,3,Junta Silicona,22,3.90,Manufacturas Gamma,Este
2023-09-01,1,Tornillo Acero,155,0.57,Industrias Delta,Oeste
2023-09-02,2,Válvula Bronce,2,46.50,Empresas Epsilon,Norte
2023-09-03,3,Junta Silicona,19,4.00,Compañías Zeta,Sur
